ICD10,count
A00,74
A00.0,24
A00.1,25
A00.9,24
A01,142
A01.0,90
A01.1,76
A01.2,76
A01.3,76
A01.4,77
A02,73
A02.0,50
A02.1,48
A02.2,54
A02.8,47
A02.9,49
A03,79
A03.0,38
A03.1,35
A03.2,32
A03.3,31
A03.8,27
A03.9,36
A04,76
A04.4,8
A04.6,7
A04.7,24
A04.8,14
A05,162
A05.0,14
A05.1,117
A05.2,7
A05.9,15
A06,86
A06.0,24
A06.1,21
A06.2,21
A06.3,16
A06.4,20
A06.5,19
A06.6,17
A06.7,19
A06.8,29
A06.9,27
A07,141
A07.0,17
A07.1,34
A07.2,27
A07.3,18
A07.8,32
A07.9,10
A08,53
A08.1,17
A08.3,14
A08.4,9
A09,28
A15,164
A15.0,15
A15.4,13
A15.5,22
A15.6,49
A15.7,35
A15.8,20
A16,163
A16.2,24
A16.3,15
A16.4,25
A16.5,19
A16.7,36
A16.8,20
A16.9,19
A17,17
A17.8,11
A18,509
A18.0,125
A18.1,120
A18.2,34
A18.3,61
A18.4,41
A18.5,40
A18.6,6
A18.7,12
A18.8,69
A19,45
A19.8,6
A19.9,30
A20,53
A20.0,13
A20.2,13
A20.7,8
A20.8,7
A20.9,9
A21,64
A21.0,8
A21.1,11
A21.2,16
A21.3,13
A21.9,8
A22,67
A22.0,12
A22.1,31
A22.2,6
A22.9,15
A23,68
A23.0,40
A23.1,34
A23.2,30
A23.3,33
A23.8,32
A23.9,34
A24,77
A24.0,22
A24.1,41
A24.2,37
A24.3,35
A24.4,40
A25,34
A25.0,14
A25.1,18
A26,27
A26.0,6
A27,35
A27.0,17
A27.8,16
A27.9,8
A28,61
A28.0,13
A28.1,34
A30,96
A30.0,15
A30.1,15
A30.3,22
A30.5,16
A30.9,19
A31,90
A31.0,42
A31.1,29
A31.8,13
A32,28
A32.0,14
A32.1,15
A32.7,14
A32.8,18
A32.9,15
A33,33
A34,24
A35,22
A36,67
A36.0,15
A36.2,14
A36.3,13
A36.8,30
A37,14
A38,11
A39,65
A39.1,14
A39.5,9
A39.8,11
A40,23
A40.3,8
A41,38
A41.9,12
A42,76
A42.0,50
A42.1,50
A42.2,57
A42.7,50
A42.8,52
A42.9,52
A43,25
A43.0,18
A43.1,16
A43.8,16
A43.9,17
A44,47
A44.0,20
A44.9,20
A46,15
A48,150
A48.0,38
A48.1,26
A48.2,9
A48.3,24
A48.8,17
A49,42
A49.8,11
A49.9,22
A50,189
A50.0,64
A50.3,14
A50.4,47
A50.5,48
A50.9,7
A51,150
A51.0,28
A51.2,17
A51.3,48
A51.4,39
A51.5,7
A51.9,7
A52,571
A52.0,129
A52.1,166
A52.2,6
A52.3,24
A52.7,235
A52.8,8
A52.9,9
A53,22
A53.0,14
A53.9,7
A54,182
A54.0,31
A54.1,17
A54.2,36
A54.3,28
A54.4,23
A54.8,22
A54.9,18
A55,39
A56,38
A56.0,12
A56.1,11
A57,45
A58,18
A59,51
A59.0,31
A59.9,20
A60,17
A60.0,10
A63,36
A63.0,33
A64,4
A65,6
A66,161
A66.0,43
A66.1,38
A66.2,6
A66.4,39
A66.6,53
A66.8,6
A66.9,27
A67,45
A67.0,19
A67.1,20
A67.2,16
A67.3,13
A67.9,12
A68,51
A68.0,23
A68.1,29
A68.9,10
A69,197
A69.0,29
A69.1,94
A69.2,62
A69.8,8
A70,14
A71,28
A71.0,15
A71.1,23
A71.9,14
A74,36
A74.0,25
A75,262
A75.0,121
A75.1,135
A75.2,144
A75.3,179
A75.9,114
A77,171
A77.0,64
A77.1,72
A77.2,47
A77.3,20
A77.8,17
A77.9,19
A78,18
A79,69
A79.0,36
A79.1,14
A79.8,14
A80,70
A80.0,16
A80.1,16
A80.2,16
A80.3,32
A80.4,26
A80.9,23
A81,247
A81.0,96
A81.1,75
A81.2,11
A81.8,101
A81.9,27
A82,17
A82.0,13
A82.1,13
A82.9,13
A83,84
A83.0,9
A83.1,8
A83.2,11
A83.3,12
A83.4,15
A83.5,17
A84,46
A84.0,30
A84.1,31
A84.8,36
A84.9,29
A85,52
A85.8,36
A86,17
A87,45
A87.0,8
A87.2,27
A88,21
A88.1,10
A89,2
A90,30
A91,22
A92,101
A92.0,21
A92.2,15
A92.3,27
A92.8,25
A93,78
A93.1,29
A93.2,28
A93.8,17
A94,39
A95,36
A95.0,33
A95.1,31
A95.9,32
A96,62
A96.0,13
A96.1,11
A96.2,8
A96.8,28
A98,130
A98.0,29
A98.1,6
A98.2,18
A98.3,15
A98.4,18
A98.5,29
A98.8,14
A99,2
B00,146
B00.0,31
B00.1,17
B00.2,9
B00.4,27
B00.5,24
B00.8,8
B00.9,21
B01,20
B01.9,9
B02,119
B02.2,60
B02.3,24
B02.9,19
B03,14
B04,10
B05,46
B05.8,6
B05.9,19
B06,46
B06.0,17
B06.8,12
B06.9,17
B08,151
B08.0,61
B08.1,9
B08.2,18
B08.3,14
B08.4,18
B08.5,17
B08.8,13
B09,3
B15,12
B15.9,6
B16,16
B16.9,11
B17,27
B17.0,18
B18,9
B19,32
B19.9,6
B20,106
B20.0,9
B20.2,6
B20.3,11
B20.5,7
B20.6,7
B20.8,15
B20.9,6
B21,28
B21.2,7
B22,22
B22.0,6
B22.2,7
B23,16
B24,5
B25,27
B25.8,9
B25.9,9
B26,36
B26.2,6
B26.8,11
B26.9,10
B27,85
B27.0,76
B27.9,38
B30,46
B30.0,21
B30.3,7
B30.8,6
B33,78
B33.0,33
B33.2,18
B33.8,11
B34,75
B34.1,12
B34.8,13
B34.9,42
B35,213
B35.0,45
B35.1,7
B35.2,17
B35.3,29
B35.4,18
B35.5,8
B35.6,12
B35.8,17
B35.9,27
B36,95
B36.0,25
B36.1,20
B36.2,12
B36.8,13
B36.9,21
B37,203
B37.0,41
B37.2,28
B37.3,49
B37.4,6
B37.8,33
B37.9,59
B38,45
B38.0,8
B38.7,6
B38.9,14
B39,55
B39.4,23
B39.9,19
B40,69
B40.9,52
B41,53
B41.0,36
B41.7,37
B41.8,39
B41.9,43
B42,29
B42.0,16
B42.1,19
B42.7,17
B42.8,20
B42.9,17
B43,40
B43.0,24
B43.1,19
B43.2,24
B43.8,22
B43.9,22
B44,46
B44.0,8
B44.1,31
B44.2,8
B44.7,9
B44.8,33
B44.9,10
B45,54
B45.0,25
B45.1,32
B45.2,26
B45.3,26
B45.7,26
B45.8,25
B45.9,32
B46,25
B46.5,6
B46.8,6
B47,33
B47.0,17
B47.1,10
B47.9,6
B48,74
B48.0,18
B48.1,12
B48.2,16
B48.3,7
B48.7,14
B49,32
B50,94
B50.0,12
B50.8,15
B50.9,57
B51,25
B51.9,20
B52,28
B52.0,6
B52.9,17
B53,23
B53.0,16
B54,30
B55,121
B55.0,30
B55.1,44
B55.2,28
B55.9,19
B56,33
B56.0,7
B56.1,7
B56.9,13
B57,51
B57.0,22
B57.1,20
B57.2,32
B57.3,24
B57.4,22
B57.5,21
B58,32
B58.8,7
B58.9,9
B59,22
B60,91
B60.0,32
B60.1,21
B60.2,8
B60.8,32
B64,19
B65,124
B65.0,23
B65.1,27
B65.2,25
B65.3,29
B65.8,8
B65.9,9
B66,218
B66.0,24
B66.1,16
B66.2,16
B66.3,51
B66.4,28
B66.5,18
B66.8,56
B66.9,8
B67,165
B67.4,76
B67.5,23
B67.6,23
B67.7,21
B67.9,48
B68,27
B68.1,18
B69,41
B69.0,29
B69.1,27
B69.8,27
B69.9,30
B70,49
B70.0,23
B70.1,25
B71,42
B71.0,19
B71.8,8
B71.9,9
B72,35
B73,21
B74,153
B74.0,68
B74.1,51
B74.2,49
B74.3,31
B74.4,30
B74.8,26
B74.9,19
B75,23
B76,69
B76.0,25
B76.1,8
B76.9,33
B77,27
B77.9,17
B78,33
B78.0,22
B78.1,19
B78.7,19
B78.9,24
B79,33
B80,33
B81,90
B81.0,33
B81.1,15
