ICD10,count
0,74
1,24
2,25
3,24
4,142
5,90
6,76
7,76
8,76
9,77
10,73
11,50
12,48
13,54
14,47
15,49
16,79
17,38
18,35
19,32
20,31
21,27
22,36
23,76
24,8
25,7
26,24
27,14
28,162
29,14
30,117
31,7
32,15
33,86
34,24
35,21
36,21
37,16
38,20
39,19
40,17
41,19
42,29
43,27
44,141
45,17
46,34
47,27
48,18
49,32
50,10
51,53
52,17
53,14
54,9
55,28
56,164
57,15
58,13
59,22
60,49
61,35
62,20
63,163
64,24
65,15
66,25
67,19
68,36
69,20
70,19
71,17
72,11
73,509
74,125
75,120
76,34
77,61
78,41
79,40
80,6
81,12
82,69
83,45
84,6
85,30
86,53
87,13
88,13
89,8
90,7
91,9
92,64
93,8
94,11
95,16
96,13
97,8
98,67
99,12
100,31
101,6
102,15
103,68
104,40
105,34
106,30
107,33
108,32
109,34
110,77
111,22
112,41
113,37
114,35
115,40
116,34
117,14
118,18
119,27
120,6
121,35
122,17
123,16
124,8
125,61
126,13
127,34
128,96
129,15
130,15
131,22
132,16
133,19
134,90
135,42
136,29
137,13
138,28
139,14
140,15
141,14
142,18
143,15
144,33
145,24
146,22
147,67
148,15
149,14
150,13
151,30
152,14
153,11
154,65
155,14
156,9
157,11
158,23
159,8
160,38
161,12
162,76
163,50
164,50
165,57
166,50
167,52
168,52
169,25
170,18
171,16
172,16
173,17
174,47
175,20
176,20
177,15
178,150
179,38
180,26
181,9
182,24
183,17
184,42
185,11
186,22
187,189
188,64
189,14
190,47
191,48
192,7
193,150
194,28
195,17
196,48
197,39
198,7
199,7
200,571
201,129
202,166
203,6
204,24
205,235
206,8
207,9
208,22
209,14
210,7
211,182
212,31
213,17
214,36
215,28
216,23
217,22
218,18
219,39
220,38
221,12
222,11
223,45
224,18
225,51
226,31
227,20
228,17
229,10
230,36
231,33
232,8
233,6
234,161
235,43
236,38
237,6
238,39
239,53
240,6
241,27
242,45
243,19
244,20
245,16
246,13
247,12
248,51
249,23
250,29
251,10
252,197
253,29
254,94
255,62
256,8
257,14
258,28
259,15
260,23
261,14
262,36
263,25
264,262
265,121
266,135
267,144
268,179
269,114
270,171
271,64
272,72
273,47
274,20
275,17
276,19
277,18
278,69
279,36
280,14
281,14
282,70
283,16
284,16
285,16
286,32
287,26
288,23
289,247
290,96
291,75
292,11
293,101
294,27
295,17
296,13
297,13
298,13
299,84
300,9
301,8
302,11
303,12
304,15
305,17
306,46
307,30
308,31
309,36
310,29
311,52
312,36
313,17
314,45
315,8
316,27
317,21
318,10
319,7
320,30
321,22
322,101
323,21
324,15
325,27
326,25
327,78
328,29
329,28
330,17
331,39
332,36
333,33
334,31
335,32
336,62
337,13
338,11
339,8
340,28
341,130
342,29
343,6
344,18
345,15
346,18
347,29
348,14
349,8
350,146
351,31
352,17
353,9
354,27
355,24
356,8
357,21
358,20
359,9
360,119
361,60
362,24
363,19
364,14
365,10
366,46
367,6
368,19
369,46
370,17
371,12
372,17
373,151
374,61
375,9
376,18
377,14
378,18
379,17
380,13
381,9
382,12
383,6
384,16
385,11
386,27
387,18
388,9
389,32
390,6
391,106
392,9
393,6
394,11
395,7
396,7
397,15
398,6
399,28
400,7
401,22
402,6
403,7
404,16
405,9
406,27
407,9
408,9
409,36
410,6
411,11
412,10
413,85
414,76
415,38
416,46
417,21
418,7
419,6
420,78
421,33
422,18
423,11
424,75
425,12
426,13
