ICD10,Text
A64,болест предава полов път неуточн
A89,вирус инфекци централ нерв систем неуточн
A99,вирус хеморагич треск неуточн
B09,вирус инфекци характеризира увреждан кожат лигави неуточн
B24,болест предизвика вирус човешк имунодефицит hiv неуточн
B89,паразит болест неуточн
B91,последи полиомиелит
B92,последи лепр
C39,злокачеств новообразувани неточ определ локализаци дихател орга гръдни кош
C39,горн дихател пътищ неуточн част
C39,лези излиза грани посоч локализаци дихател систем гръдни кош
C39,неточ определ локализаци дихател систем
C97,злокачеств новообразува самостоятел първич множеств локализаци
D42,новообразувани неопредел неизвест характер мозъч обвивк
D42,менинг главни мозъ
D42,менинг гръбнач мозъ
D42,менинг неуточн
D77,наруш кръвт кръвотвор орга болест класифицира другад
E58,недоимъ калци храна
E59,недоимъ селен храна
E60,недоимъ цинк храна
E68,последи прехранван
E90,разстройств хранен обмя веществ болест класифицира другад
F24,индуцира налуд разстройств
F59,поведенческ синдром свърза физиологич наруш соматич фактор неуточн
F69,разстройств личност поведени зряла възраст неуточн
F73,дълбо умств изостаналост
F78,умств изостаналост
F83,смесен специфич разстройств психологич развити
F88,разстройств психологич развити
F89,разстройств психологич развити неуточн
G01,менингит бактериал болест класифицира другад
G07,вътречереп вътрегръбнач абсцес гранулом болест класифицира другад
G22,паркинсониз болест класифицира другад
G26,екстрапирамид двигател наруш болест класифицира другад
H82,вестибулар синдром болест класифицира другад
J14,пневмони причин haemophilus influenzae
J22,ост респиратор инфекци долн дихател пътищ неуточн
J91,плеврал излив състоян класифицира другад
L14,булоз уврежда кожат болест класифицира другад
L26,ексфолиатив дерматит
L45,папулосквамоз уврежда болест класифицира другад
L52,erythema nodosum
L54,еритем болест класифицира другад
L54,erythema marginatum ост ревматиз
L62,измен нокт болест класифицира другад
L62,бухалковид нокт дължа пахидермопериостоз
L86,кератодерми болест класифицира другад
L97,язв долен крайни некласифицира другад
M82,остеопороз болест класифицира другад
M82,остеопороз множеств миеломатоз
M82,остеопороз ендокрин наруш
N63,образувани млечн жлеза неуточн
O05,видов аборт
O06,аборт неуточн
O25,недоимъч хранен време бременност
O96,смърт майк акушерск причин настъпва 42 дни малк годин раждан
O97,смърт майк последиц пряка акушерск причин
P75,мекониум илеус
P77,некротизира ентероколит плода новород
P90,неонатал гърч
P93,реакци интоксикаци предизвика лекарств средств прилага плода новород
R12,киселин
R13,дисфаг
R15,незадържан изпражн
R17,неуточн жълтениц
R33,ретенци ури
R36,секрет уретр
R51,главоболи
R64,кахекси
R71,анома еритроцит
R72,анома левкоцит некласифицира другад
R81,гликозур
R83,отклон норм откри изследван ликвор
R85,отклон норм откри изследван препарат храносмилател орга корем кухин
R86,отклон норм откри изследван препарат мъжк полов орга
R90,отклон норм откри получаван диагностич изображ хода изследван централ нерв систем
R90,вътречереп обем поражени
R92,отклон норм откри получаван диагностич изображ хода изследван млечн жлеза
R98,смърт свидет
S16,травма мускул сухож ниво шия
S18,травматич ампутаци ниво шия
S47,смазван рамен пояс мишниц
S87,смазван подбедриц
S87,смазван колен става
S87,смазван неуточн част подбедриц
T07,множеств травми неуточн
T08,счупван гръбнач стълб неуточн ниво
T10,счупван горен крайни неуточн ниво
T12,счупван долен крайни неуточн ниво
T16,чужд тяло ухот
T55,токсич въздействи сапун детергент
T58,токсич въздействи въглеокис
T64,токсич ефект замърс хранител продукт афлатокси микотоксин
T68,хипотерми
T96,последи отравян лекарств средств медикамент биологич веществ
T97,последи токсич въздействи веществ нелекарств произход
G22,паркинсонов синдром ригид тремор форм
O06,аборт компле инкомпле
O05,аборт компле инкомпле криминал
O06,аборт компле инкомпле предизвика
O05,аборт компле инкомпле предизвика немедицинск
G07,абсцес емболич инфекциоз метастатич множеств пиоген септич главен мозъ част гонококов
F88,агнози изображени тяло тактил чуствителност развити
S18,ампутаци травматич пълн частич глава декапитаци ниво шия
R71,анизоцитоз
R92,анормал анормалност диагностич образ гърд
R90,анормал анормалност диагностич образ централ нерв систем
R90,анормал анормалност ехоенцефалограм
R72,анормал анормалност левкоцит клетк диференциаци
R86,анормал анормалност препара мъжк полов орга секрет прост семен течност
R85,анормал анормалност препара храносмилател орга перитонеал течност слюнк
R85,анормал анормалност слюнк
R86,анормал анормалност сперм семен течност
R86,анормал анормалност сперматозоид
R85,анормал анормалност течност перитонеал
R83,анормал анормалност течност цереброспинал
R71,анормал анормалност черв кръвн клетк морфолог обем
T58,асфикси въглерод окис
A64,болест забол венерич
R64,болест забол изтощаван
B89,болест забол паразит
E59,болест продължени keshan
R51,болк глава виж главоболи
R51,болк лице лицев
O25,бременност единич маточ усложн недоимъч хранен състоян
O25,бременност единич маточ състоян
A64,бубон подуван лимфни жлези венерич
A64,бубон подуван лимфни жлези ингвинал неспецифич венерич
L62,бухалковид нокът дължа пахидермопериостоз
N63,бучк гърд
N63,възелче възлест гръдн жлеза
S18,декапитаци
L26,дерматит ексфолиатив ексфолиатив генерализира
L26,дерматоз ексфолиатив
E58,дефицит недоимъ дефицит калци диетич
E59,дефицит недоимъ дефицит селен хранител
E60,дефицит недоимъ дефицит цинк хранител
F59,дисфункци психофизиологич
F59,дисфункци физиологич психоген
B09,екзантем екзантем вирус вирус
R15,енкопрез
P77,ентери ост диари епидемич хеморагич предполага инфекциоз произход септич некротизира плода новород
P77,ентероколит некротизира плод новород
L52,еритем erythema еритематоз индуратив нетуберкулоз
R17,жълтениц жълт
F89,забавян забав ретардаци развити развити специфич виж разстройств развити
F73,забавян забав ретардаци умств тежк iq под 20
F78,забавян забав ретардаци умств уточн
R15,загуб контрол сфинктер ректум
R13,затрудн гълтан
R81,захар ури
F73,идиот идиоти вроден
R36,изтичан секрет уретр
R64,изтощаван
R64,изтощени физическ атрофи болест
