ICD10,Text
A89,вирус инфекци централ нерв систем неуточн
A99,вирус хеморагич треск неуточн
B91,последи полиомиелит
B92,последи лепр
C97,злокачеств новообразува самостоятел първич множеств локализаци
D77,наруш кръвт кръвотвор орга болест класифицира другад
E68,последи прехранван
E90,разстройств хранен обмя веществ болест класифицира другад
G01,менингит бактериал болест класифицира другад
G07,вътречереп вътрегръбнач абсцес гранулом болест класифицира другад
G22,паркинсониз болест класифицира другад
G26,екстрапирамид двигател наруш болест класифицира другад
H82,вестибулар синдром болест класифицира другад
J91,плеврал излив състоян класифицира другад
L14,булоз уврежда кожат болест класифицира другад
L45,папулосквамоз уврежда болест класифицира другад
L52,erythema nodosum
L86,кератодерми болест класифицира другад
O96,смърт майк акушерск причин настъпва 42 дни малк годин раждан
P75,мекониум илеус
R81,гликозур
R83,отклон норм откри изследван ликвор
R92,отклон норм откри получаван диагностич изображ хода изследван млечн жлеза
S16,травма мускул сухож ниво шия
T07,множеств травми неуточн
T08,счупван гръбнач стълб неуточн ниво
T10,счупван горен крайни неуточн ниво
T12,счупван долен крайни неуточн ниво
T55,токсич въздействи сапун детергент
T64,токсич ефект замърс хранител продукт афлатокси микотоксин
V01,пешеход пострада сблъскван велосипед
V02,пешеход пострада сблъскван мотор превоз средств три коле
V03,пешеход пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V04,пешеход пострада сблъскван тежкотовар автомоб автобус
V05,пешеход пострада сблъскван влак железопът транспорт средств
V06,пешеход пострада сблъскван немотор транспорт средств
V10,велосипедист пострада сблъскван пешеход живот
V11,велосипедист пострада сблъскван велосипед
V12,велосипедист пострада сблъскван мотор превоз средств три коле
V13,велосипедист пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V14,велосипедист пострада сблъскван тежкотовар автомоб автобус
V15,велосипедист пострада сблъскван влак железопът транспорт средств
V16,велосипедист пострада сблъскван немотор транспорт средств
V17,велосипедист пострада сблъскван закреп стационар обект
V18,велосипедист пострада транспорт злополу сблъскван
V20,мотоциклетист пострада сблъскван пешеход живот
V21,мотоциклетист пострада сблъскван велосипед
V22,мотоциклетист пострада сблъскван мотор превоз средств три коле
V23,мотоциклетист пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V24,мотоциклетист пострада сблъскван тежкотовар автомоб автобус
V25,мотоциклетист пострада сблъскван влак железопът транспорт средств
V26,мотоциклетист пострада сблъскван немотор транспорт средств
V27,мотоциклетист пострада сблъскван закреп стационар обект
V28,мотоциклетист пострада транспорт злополу сблъскван
V30,лице намира мотор превоз средств три коле пострада сблъскван пешеход живот
V31,лице намира мотор превоз средств три коле пострада сблъскван велосипед
V32,лице намира мотор превоз средств три коле пострада сблъскван мотор превоз средств три коле
V33,лице намира мотор превоз средств три коле пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V34,лице намира мотор превоз средств три коле пострада сблъскван тежкотовар автомоб автобус
V35,лице намира мотор превоз средств три коле пострада сблъскван влак железопът транспорт средств
V36,лице намира мотор превоз средств три коле пострада сблъскван немотор транспорт средств
V37,лице намира мотор превоз средств три коле пострада сблъскван закреп стационар обект
V38,лице намира мотор превоз средств три коле пострада транспорт злополу сблъскван
V40,лице намира лек автомоб пострада сблъскван пешеход живот
V41,лице намира лек автомоб пострада сблъскван велосипед
