code,disease,primary
A00,холер,1
A01,тиф паратиф,1
A02,салмонелоз инфекци,1
A03,шигелоз,1
A04,бактериал чревн инфекци,1
A05,бактериал хранител отравя,1
A06,амебиаз,1
A07,протозойн чревн болест,1
A08,вирус уточн чревн инфекци,1
A09,диар гастроентери предполага инфекциоз произход,1
A15,туберкулоз дихател орга потвърд бактериологич хистологич,1
A16,туберкулоз дихател орга непотвърд бактериологич хистологич,1
A17,туберкулоз нерв систем,1
A18,туберкулоз орга,1
A19,милиар туберкулоз,1
A20,чума,1
A21,туларем,1
A22,антракс,1
A23,бруцелоз,1
A24,сап мелиоидоз,1
A25,треск ухапван плъх,1
A26,еризипелоид,1
A27,лептоспироз,1
A28,бактериал зооноз некласифицира другад,1
A30,прока болест hansen,1
A31,инфекци предизвика микобактери,1
A32,листериоз,1
A33,тетанус новород,1
A34,акушерск тетанус,1
A35,форм тетанус,1
A36,дифтери,1
A37,коклюш,1
A38,скарлати,1
A39,менингококов инфекци,1
A40,стрептококов септицем,1
A41,септицем,1
A42,актиномикоз,1
A43,нокардиоз,1
A44,бартонелоз,1
A46,еризип,1
A48,бактериал болест некласифицира другад,1
A49,бактериал инфекци неуточн локализаци,1
A50,вроден сифилис,1
A51,ранен сифилис,1
A52,късен сифилис,1
A53,неуточн форм сифилис,1
A54,гонококов инфекци,1
A55,хламиди лимфогранулом венерич,1
A56,хламиди болест предава полов път,1
A57,шанкроид,1
A58,гранулом ингвинал,1
A59,трихомониаз,1
A60,аногенитал херпес вирус herpes simplex инфекци,1
A63,болест предава полов път некласифицира другад,1
A64,болест предава полов път неуточн,1
A65,невенерич сифилис,1
A66,фрамбези,1
A67,пинт кара,1
A68,възврат треск,1
A69,инфекци предизвика спирохет,1
A70,инфекци предизвика chlamydia psittaci,1
A71,трахом,1
A74,болест предизвика хламиди,1
A75,петнист тиф,1
A77,петнис треск кърлежов рикетсиоз,1
A78,ку треск,1
A79,рикетсиоз,1
A80,ост полиомиелит,1
A81,атипич вирус инфекци централ нерв систем,1
A82,бяс,1
A83,вирус енцефалит предава комар,1
A84,вирус енцефалит предава кърлеж,1
A85,вирус енцефалит некласифицира другад,1
A86,вирус енцефалит неуточн,1
A87,вирус менингит,1
A88,вирус инфекци централ нерв систем некласифицира другад,1
A89,вирус инфекци централ нерв систем неуточн,1
A90,денг класическ треск денг,1
A91,хеморагич треск предизвика dengue вирус,1
A92,вирус треск предава комар,1
A93,вирус треск предава членестоног некласифицира другад,1
A94,вирус треск предава членестоног неуточн,1
A95,жълт треск,1
A96,аренавирус хеморагич треск,1
A98,вирус хеморагич треск некласифицира другад,1
A99,вирус хеморагич треск неуточн,1
B00,херпес вирус herpes simplex инфекци,1
B01,лещенк varicella,1
B02,херпес зостер herpes zoster,1
B03,вариола1,1
B04,инфекци предизвика вирус маймунск вариол,1
B05,брусниц,1
B06,рубеол немск брусниц,1
B08,вирус инфекци характеризира уврежда кожат лигави некласифицира другад,1
B09,вирус инфекци характеризира увреждан кожат лигави неуточн,1
B15,ост хепатит,1
B16,ост хепатит,1
B17,ост вирус хепатит,1
B18,хронич вирус хепатит,1
B19,вирус хепатит неуточн,1
B20,болест предизвика вирус човешк имунодефицит hiv проявява инфекциоз паразит болест,1
B21,болест предизвика вирус човешк имунодефицит hiv проявява злокачеств новообразува,1
B22,болест предизвика вирус човешк имунодефицит hiv проявява уточн болест,1
B23,болест предизвика вирус човешк имунодефицит hiv проявява състоян,1
B24,болест предизвика вирус човешк имунодефицит hiv неуточн,1
B25,цитомегалвирус болест,1
B26,епидемич паротит,1
B27,инфекциоз мононуклеоз,1
B30,вирус конюнктиви,1
B33,вирус болест некласифицира другад,1
B34,вирус инфекци неуточн локализаци,1
B35,дерматофит,1
B36,повърхност микоз,1
B37,кандидоз,1
B38,кокцидиоидомикоз,1
B39,хистоплазмоз,1
B40,бластомикоз,1
B41,паракокцидиоидомикоз,1
B42,споротрихоз,1
B43,хромомикоз феомикотич абсцес,1
B44,аспергилоз,1
B45,криптококоз,1
B46,зигомикоз,1
B47,мицетом,1
B48,микоз некласифицира другад,1
B49,микоз неуточн,1
B50,малар предизвика plasmodium falciparum,1
B51,малар предизвика plasmodium vivax,1
B52,малар предизвика plasmodium malariaе,1
B53,видов паразитологич потвърд малар,1
B54,малар неуточн,1
B55,лайшманиоз,1
B56,африканск трипанозомоз,1
B57,болест chagas,1
B58,токсоплазмоз,1
B59,пневмоцистоз,1
B60,протозойн болест некласифицира другад,1
B64,протозойн болест неуточн,1
B65,шистозомиаз билхарциоз,1
B66,трематодоз,1
B67,ехинококоз,1
B68,тениоз,1
B69,цистицеркоз,1
B70,дифилоботриоз спарганоз,1
B71,инвази предизвика цестод,1
B72,дракункулоз,1
B73,онхоцеркоз,1
B74,филариоз,1
B75,трихинелоз,1
B76,анкилостомидоз,1
B77,аскаридоз,1
B78,стронгилоидоз,1
B79,трихуриоз,1
B80,ентеробиоз,1
B81,чревн хелминтоз некласифицира другад,1
B82,чревн паразитоз неуточн,1
B83,хелминтоз,1
B85,педикулоз фтириоз,1
B86,краст,1
B87,миаз,1
B88,инфестаци,1
B89,паразит болест неуточн,1
B90,последи туберкулоз,1
B91,последи полиомиелит,1
B92,последи лепр,1
B94,последи неуточн инфекциоз паразит болест,1
B95,стрептокок стафилокок причин болест класифицира другад,1
B96,бактериал агент причин болест класифицира другад,1
B97,вирус агент причин болест класифицира другад,1
B99,неуточн инфекциоз болест,1
C00,злокачеств новообразувани уст,1
C01,злокачеств новообразувани основ ези,1
C02,злокачеств новообразувани неуточн част ези,1
C03,злокачеств новообразувани венц,1
C04,злокачеств новообразувани пода уст кухин,1
C05,злокачеств новообразувани небц,1
C06,злокачеств новообразувани неуточн част уст кухин,1
C07,злокачеств новообразувани околоуш слюнч жлеза паротис,1
C08,злокачеств новообразувани неуточн част голем слюнч жлези,1
C09,злокачеств новообразувани сливиц тонзил,1
C10,злокачеств новообразувани орофаринкс мезофаринкс,1
C11,злокачеств новообразувани носоглътк назофаринкс,1
C12,злокачеств новообразувани пириформ синус,1
C13,злокачеств новообразувани хипофаринкс,1
C14,злокачеств новообразувани неточ определ локализаци уст уст кухин фаринкс,1
C15,злокачеств новообразувани хранопровод,1
C16,злокачеств новообразувани стома,1
C17,злокачеств новообразувани тънк черв,1
C18,злокачеств новообразувани дебел черв колон,1
C19,злокачеств новообразувани ректосигмоидал област,1
C20,злокачеств новообразувани правот черв ректум,1
C21,злокачеств новообразувани анус анал кана,1
C22,злокачеств новообразувани черни дроб интрахепатал жлъчн пътищ,1
C23,злокачеств новообразувани жлъчни мехур,1
C24,злокачеств новообразувани неуточн част жлъчн пътищ,1
C25,злокачеств новообразувани панкреас,1
C26,злокачеств новообразувани храносмилател орга неточ определ локализаци,1
C30,злокачеств новообразувани носн кухин средно ухо,1
C31,злокачеств новообразувани синус,1
C32,злокачеств новообразувани ларинкс,1
C33,злокачеств новообразувани трахеят,1
C34,злокачеств новообразувани бронхит бели дроб,1
C37,злокачеств новообразувани тимус,1
C38,злокачеств новообразувани сърц медиастинум плевр,1
C39,злокачеств новообразувани неточ определ локализаци дихател орга гръдни кош,1
C40,злокачеств новообразувани кост ставн хрущял крайни,1
C41,злокачеств новообразувани кост ставн хрущял неуточн локализаци,1
C43,злокачеств меланом кожат,1
C44,злокачеств новообразува кожат,1
C45,мезотелиом,1
C46,сарком kaposi,1
C47,злокачеств новообразувани перифер нерв вегетатив нерв систем,1
C48,злокачеств новообразувани ретроперитонеум перитонеум,1
C49,злокачеств новообразувани съединител меки тъка,1
C50,злокачеств новообразувани млечн жлеза,1
C51,злокачеств новообразувани вулв,1
C52,злокачеств новообразувани влагалищ вагин,1
C53,злокачеств новообразувани шийк матк цервикс,1
C54,злокачеств новообразувани тялот матк,1
C55,злокачеств новообразувани матк неуточн локализаци,1
C56,злокачеств новообразувани яйчни,1
C57,злокачеств новообразувани неуточн част женск полов орга,1
C58,злокачеств новообразувани плацент,1
C60,злокачеств новообразувани пенис,1
C61,злокачеств новообразувани простат,1
C62,злокачеств новообразувани тестис,1
C63,злокачеств новообразувани неуточн част мъжк полов орга,1
C64,злокачеств новообразувани бъбре изключени бъбреч легенче,1
C65,злокачеств новообразувани бъбреч легенче,1
C66,злокачеств новообразувани уретер,1
C67,злокачеств новообразувани пикоч мехур,1
C68,злокачеств новообразувани неуточн част пикоч орга,1
C69,злокачеств новообразувани око придатъ,1
C70,злокачеств новообразувани мозъч обвивк менинг,1
C71,злокачеств новообразувани главни мозъ,1
C72,злокачеств новообразувани гръбнач мозъ черепномозъч нерв част централ нерв систем,1
C73,злокачеств новообразувани щитовид жлеза,1
C74,злокачеств новообразувани надбъбреч жлеза,1
C75,злокачеств новообразувани ендокрин жлези сродн структур,1
C76,злокачеств новообразувани неточ определ локализаци,1
C77,вторич неуточн злокачеств новообразувани лимфни възл,1
C78,вторич злокачеств новообразувани дихател храносмилател систем,1
C79,вторич злокачеств новообразувани локализаци,1
C80,злокачеств новообразувани неуточн локализаци,1
C81,болест hodgkin,1
C82,фоликулар нодулар нехочкинов лимфом,1
C83,дифуз нехочкинов лимфом,1
C84,перифер кожн т клетъч лимфом,1
C85,неуточн типов нехочкинов лимфом,1
C88,злокачеств имунопролифератив болест,1
C90,множеств миелом злокачеств плазмоклетъч новообразува,1
C91,лимфоид левкем,1
C92,миелоид левкем,1
C93,моноцит левкем,1
C94,левкеми уточн клетъч вид,1
C95,левкем неуточн клетъч тип,1
C96,неуточн злокачеств новообразува лимфна кръвотвор сродн тъка,1
C97,злокачеств новообразува самостоятел първич множеств локализаци,1
D00,карцином in situ уст кухин хранопровод стома,1
D01,карцином in situ неуточн храносмилател орга,1
D02,карцином in situ средно ухо дихател систем,1
D03,меланом in situ,1
D04,карцином in situ кожат,1
D05,карцином in situ млечн жлеза,1
D06,карцином in situ шийк матк,1
D07,карцином in situ неуточн полов орга,1
D09,карцином in situ неуточн локализаци,1
D10,доброкачеств новообразувани уст уст кухин фаринкс,1
D11,доброкачеств новообразувани голем слюнч жлези,1
D12,доброкачеств новообразувани колон ректум анус анал кана,1
D13,доброкачеств новообразувани неточ определ част храносмилател систем,1
D14,доброкачеств новообразувани средно ухо дихател систем,1
D15,доброкачеств новообразувани неуточн орга гръдни кош,1
D16,доброкачеств новообразувани кост ставн хрущял,1
D17,доброкачеств новообразувани маст тъка,1
D18,хемангиом лимфангиом локализаци,1
D19,доброкачеств новообразувани мезотелиал тъка,1
D20,доброкачеств новообразувани мекат тъка ретроперитонеум перитонеум,1
D21,доброкачеств новообразува съединител меки тъка,1
D22,меланоцит невус,1
D23,доброкачеств новообразува кожат,1
D24,доброкачеств ноовообразувани млечн жлеза,1
D25,лейомиом матк,1
D26,доброкачеств новообразува матк,1
D27,доброкачеств новообразувани яйчни,1
D28,доброкачеств новообразувани неуточн част женск полов орга,1
D29,доброкачеств новообразувани мъжк полов орга,1
D30,доброкачеств новообразувани пикоч орга,1
D31,доброкачеств новообразувани око придатъ,1
D32,доброкачеств новообразувани мозъч обвивк менинг,1
D33,доброкачеств новообразувани главни мозъ част централ нерв систем,1
D34,доброкачеств новообразувани щитовид жлеза,1
D35,доброкачеств новообразувани неуточн ендокрин жлези,1
D36,доброкачеств новообразувани неуточн локализаци,1
D37,новообразувани неопредел неизвест характер уст кухин храносмилател орга,1
D38,новообразувани неопредел неизвест характер средно ухо дихател систем орга гръдни кош,1
D39,новообразувани неопредел неизвест характер женск полов орга,1
D40,новообразувани неопредел неизвест характер мъжк полов орга,1
D41,новообразувани неопредел неизвест характер пикоч орга,1
D42,новообразувани неопредел неизвест характер мозъч обвивк,1
D43,новообразувани неопредел неизвест характер главни мозъ централ нерв систем,1
D44,новообразувани неопредел неизвест характер ендокрин жлези,1
D45,полицитем вера,1
D46,миелодиспластич синдром,1
D47,новообразува неопредел неизвест характер лимфна кръвотвор сродн тъка,1
